–° ±,1,2,3,4,æ€¿‡±Í«©, ±∂Œ
0,2456,888,1426,2753,1,µÕ∑Â
1,1394,455,910,1563,1,µÕ∑Â
2,991,276,715,976,1,µÕ∑Â
3,568,261,643,1145,1,µÕ∑Â
4,604,341,591,1717,1,µÕ∑Â
5,1955,543,1791,2895,1,µÕ∑Â
6,9843,2579,6093,7888,0,∆Ω∑Â
7,11921,2210,10228,11928,2,∏ﬂ∑Â
8,9824,3188,9379,10638,0,∆Ω∑Â
9,10584,3619,10644,12354,2,∏ﬂ∑Â
10,11201,3660,9701,12344,2,∏ﬂ∑Â
11,11782,3934,10534,13550,2,∏ﬂ∑Â
12,13149,3875,9157,13564,2,∏ﬂ∑Â
13,13612,4028,9515,13940,2,∏ﬂ∑Â
14,12789,3828,8937,13856,2,∏ﬂ∑Â
15,13210,4023,9240,15419,2,∏ﬂ∑Â
16,11360,4136,9088,17785,2,∏ﬂ∑Â
17,8459,2611,7870,15012,0,∆Ω∑Â
18,14120,4513,9808,16184,2,∏ﬂ∑Â
19,12801,4171,7743,13950,2,∏ﬂ∑Â
20,11509,3933,6328,13262,2,∏ﬂ∑Â
21,8305,2720,4535,9655,0,∆Ω∑Â
22,5679,1988,2842,6073,1,µÕ∑Â
23,4262,1704,2210,4693,1,µÕ∑Â
