Сʱ,1,2,3,4
0,2456,888,1426,2753
1,1394,455,910,1563
2,991,276,715,976
3,568,261,643,1145
4,604,341,591,1717
5,1955,543,1791,2895
6,9843,2579,6093,7888
7,11921,2210,10228,11928
8,9824,3188,9379,10638
9,10584,3619,10644,12354
10,11201,3660,9701,12344
11,11782,3934,10534,13550
12,13149,3875,9157,13564
13,13612,4028,9515,13940
14,12789,3828,8937,13856
15,13210,4023,9240,15419
16,11360,4136,9088,17785
17,8459,2611,7870,15012
18,14120,4513,9808,16184
19,12801,4171,7743,13950
20,11509,3933,6328,13262
21,8305,2720,4535,9655
22,5679,1988,2842,6073
23,4262,1704,2210,4693
