时间,车流量,z_score,聚类标签,时段
0,5885,1.2022851434570927,1,低峰
1,3205,1.4508474999872287,1,低峰
2,2049,1.5580632030278396,1,低峰
3,1689,1.5914521762930818,1,低峰
4,2091,1.5541678228135614,1,低峰
5,4103,1.3675605611200414,1,低峰
6,9500,0.8670042035852862,1,低峰
7,18315,0.049438094326648585,2,平峰
8,24534,0.5273564188304095,0,高峰
9,27684,0.8195099349012783,0,高峰
10,28174,0.8649560374011912,0,高峰
11,29018,0.9432346302785922,0,高峰
12,29324,0.9716152575540481,0,高峰
13,28806,0.923572234911283,0,高峰
14,28905,0.9327542025592246,0,高峰
15,29158,0.9562192309928531,0,高峰
16,29090,0.9499124249316407,0,高峰
17,28468,0.892223698901139,0,高峰
18,27923,0.8416765032634808,0,高峰
19,26893,0.7461469408657045,0,高峰
20,24884,0.5598179206160616,0,高峰
21,19542,0.06436265621905174,2,平峰
22,13776,0.47041739891257667,2,平峰
23,9337,0.8821219887026042,1,低峰
