交叉口,是否为工作日,时段,最小延迟,周期,相位差,相位1绿灯时长,相位2绿灯时长,相位3绿灯时长,相位4绿灯时长
环东路-纬中路,True,高峰,43815,60,33,18,10,11,10
环东路-纬中路,False,高峰,22296,71,60,30,11,10,10
环西路-纬中路,True,平峰,1000000,184,95,44,46,46,38
环西路-纬中路,False,平峰,472329,60,125,14,11,15,10
经二路-纬中路,True,平峰,375310,60,164,12,11,17,10
经二路-纬中路,False,平峰,91493,60,207,13,16,10,11
经三路-纬中路,True,平峰,476320,60,256,16,11,10,13
经三路-纬中路,False,平峰,128741,61,298,17,11,12,11
经四路-纬中路,True,平峰,30456,63,333,17,16,10,10
经四路-纬中路,False,平峰,11519,67,364,26,11,10,10
经五路-纬中路,True,平峰,111509,67,398,18,19,10,10
经五路-纬中路,False,平峰,42409,65,428,17,17,10,11
经一路-纬中路,True,平峰,514390,60,0,11,13,14,12
经一路-纬中路,False,平峰,132840,60,0,20,10,10,10
经中路-环北路,True,平峰,365999,60,0,16,13,10,11
经中路-环北路,False,平峰,99743,60,0,19,11,10,10
经中路-环南路,True,平峰,1000000,185,0,44,33,49,48
经中路-环南路,False,平峰,221477,60,0,17,12,11,11
经中路-纬一路,True,平峰,336219,60,0,11,18,12,10
经中路-纬一路,False,平峰,122055,66,0,24,11,12,10
纬中路-景区出入口,True,平峰,446890,60,0,14,10,16,10
纬中路-景区出入口,False,平峰,139232,62,0,10,18,14,10
