小时,车流量,路口,类型
0,178.0,环东路-纬中路,工作日
1,100.0,环东路-纬中路,工作日
2,109.0,环东路-纬中路,工作日
3,56.0,环东路-纬中路,工作日
4,51.0,环东路-纬中路,工作日
5,233.0,环东路-纬中路,工作日
6,3373.0,环东路-纬中路,工作日
7,7144.0,环东路-纬中路,工作日
8,6750.0,环东路-纬中路,工作日
9,6407.0,环东路-纬中路,工作日
10,8106.0,环东路-纬中路,工作日
11,10722.0,环东路-纬中路,工作日
12,9143.0,环东路-纬中路,工作日
13,10108.0,环东路-纬中路,工作日
14,9479.0,环东路-纬中路,工作日
15,7603.0,环东路-纬中路,工作日
16,6820.0,环东路-纬中路,工作日
17,2360.0,环东路-纬中路,工作日
18,1498.0,环东路-纬中路,工作日
19,3837.0,环东路-纬中路,工作日
20,4031.0,环东路-纬中路,工作日
21,1875.0,环东路-纬中路,工作日
22,465.0,环东路-纬中路,工作日
23,563.0,环东路-纬中路,工作日
0,0.0,环东路-纬中路,节假日
1,0.0,环东路-纬中路,节假日
2,54.0,环东路-纬中路,节假日
3,16.0,环东路-纬中路,节假日
4,17.0,环东路-纬中路,节假日
5,303.0,环东路-纬中路,节假日
6,1620.0,环东路-纬中路,节假日
7,3346.0,环东路-纬中路,节假日
8,4920.0,环东路-纬中路,节假日
9,4833.0,环东路-纬中路,节假日
10,4531.0,环东路-纬中路,节假日
11,2455.0,环东路-纬中路,节假日
12,4378.0,环东路-纬中路,节假日
13,1734.0,环东路-纬中路,节假日
14,2452.0,环东路-纬中路,节假日
15,1562.0,环东路-纬中路,节假日
16,0.0,环东路-纬中路,节假日
17,0.0,环东路-纬中路,节假日
18,0.0,环东路-纬中路,节假日
19,0.0,环东路-纬中路,节假日
20,0.0,环东路-纬中路,节假日
21,347.0,环东路-纬中路,节假日
22,232.0,环东路-纬中路,节假日
23,0.0,环东路-纬中路,节假日
0,18940.0,环西路-纬中路,工作日
1,10633.0,环西路-纬中路,工作日
2,5902.0,环西路-纬中路,工作日
3,4257.0,环西路-纬中路,工作日
4,4722.0,环西路-纬中路,工作日
5,9409.0,环西路-纬中路,工作日
6,39408.0,环西路-纬中路,工作日
7,105795.0,环西路-纬中路,工作日
8,93526.0,环西路-纬中路,工作日
9,73295.0,环西路-纬中路,工作日
10,70230.0,环西路-纬中路,工作日
11,77665.0,环西路-纬中路,工作日
12,84910.0,环西路-纬中路,工作日
13,89345.0,环西路-纬中路,工作日
14,83132.0,环西路-纬中路,工作日
15,90850.0,环西路-纬中路,工作日
16,110268.0,环西路-纬中路,工作日
17,118315.0,环西路-纬中路,工作日
18,98549.0,环西路-纬中路,工作日
19,91261.0,环西路-纬中路,工作日
20,77365.0,环西路-纬中路,工作日
21,62339.0,环西路-纬中路,工作日
22,41376.0,环西路-纬中路,工作日
23,29544.0,环西路-纬中路,工作日
0,7191.0,环西路-纬中路,节假日
1,4135.0,环西路-纬中路,节假日
2,2300.0,环西路-纬中路,节假日
3,1630.0,环西路-纬中路,节假日
4,1700.0,环西路-纬中路,节假日
5,3469.0,环西路-纬中路,节假日
6,12028.0,环西路-纬中路,节假日
7,30512.0,环西路-纬中路,节假日
8,30216.0,环西路-纬中路,节假日
9,31419.0,环西路-纬中路,节假日
10,31190.0,环西路-纬中路,节假日
11,34841.0,环西路-纬中路,节假日
12,37153.0,环西路-纬中路,节假日
13,38757.0,环西路-纬中路,节假日
14,34020.0,环西路-纬中路,节假日
15,34056.0,环西路-纬中路,节假日
16,37191.0,环西路-纬中路,节假日
17,36069.0,环西路-纬中路,节假日
18,29488.0,环西路-纬中路,节假日
19,29390.0,环西路-纬中路,节假日
20,29389.0,环西路-纬中路,节假日
21,24316.0,环西路-纬中路,节假日
22,16390.0,环西路-纬中路,节假日
23,12345.0,环西路-纬中路,节假日
0,4772.0,经二路-纬中路,工作日
1,2394.0,经二路-纬中路,工作日
2,1425.0,经二路-纬中路,工作日
3,894.0,经二路-纬中路,工作日
4,1100.0,经二路-纬中路,工作日
5,2073.0,经二路-纬中路,工作日
6,9415.0,经二路-纬中路,工作日
7,18816.0,经二路-纬中路,工作日
8,17986.0,经二路-纬中路,工作日
9,16672.0,经二路-纬中路,工作日
10,16873.0,经二路-纬中路,工作日
11,19366.0,经二路-纬中路,工作日
12,18696.0,经二路-纬中路,工作日
13,18715.0,经二路-纬中路,工作日
14,18461.0,经二路-纬中路,工作日
15,19459.0,经二路-纬中路,工作日
16,23170.0,经二路-纬中路,工作日
17,25836.0,经二路-纬中路,工作日
18,21533.0,经二路-纬中路,工作日
19,20558.0,经二路-纬中路,工作日
20,19531.0,经二路-纬中路,工作日
21,14982.0,经二路-纬中路,工作日
22,10309.0,经二路-纬中路,工作日
23,7799.0,经二路-纬中路,工作日
0,1666.0,经二路-纬中路,节假日
1,947.0,经二路-纬中路,节假日
2,492.0,经二路-纬中路,节假日
3,417.0,经二路-纬中路,节假日
4,414.0,经二路-纬中路,节假日
5,654.0,经二路-纬中路,节假日
6,2139.0,经二路-纬中路,节假日
7,5679.0,经二路-纬中路,节假日
8,7300.0,经二路-纬中路,节假日
9,7063.0,经二路-纬中路,节假日
10,6563.0,经二路-纬中路,节假日
11,7679.0,经二路-纬中路,节假日
12,6853.0,经二路-纬中路,节假日
13,6345.0,经二路-纬中路,节假日
