小时,1,2,3,4,聚类标签,时段
0,39,9,41,89,2,低峰
1,26,2,20,52,2,低峰
2,31,4,24,50,2,低峰
3,6,2,13,35,2,低峰
4,10,1,13,27,2,低峰
5,44,19,77,93,2,低峰
6,627,343,1043,1360,2,低峰
7,1690,657,2253,2544,0,高峰
8,1257,862,1981,2650,0,高峰
9,961,834,1868,2744,0,高峰
10,1052,1105,2521,3428,0,高峰
11,1418,1719,3415,4170,0,高峰
12,1256,1291,2911,3685,0,高峰
13,1296,1173,3080,4559,0,高峰
14,1136,1078,3049,4216,0,高峰
15,879,1055,2340,3329,0,高峰
16,856,1177,1727,3060,0,高峰
17,290,471,494,1105,1,平峰
18,199,237,387,675,1,平峰
19,577,454,1046,1760,1,平峰
20,764,494,932,1841,1,平峰
21,403,169,408,895,1,平峰
22,88,37,116,224,1,平峰
23,128,46,134,255,1,平峰
