–° ±,1,2,3,4,æ€¿‡±Í«©, ±∂Œ
0,6750,4946,3347,3897,0,µÕ∑Â
1,3557,3016,1860,2200,0,µÕ∑Â
2,1872,1710,1062,1258,0,µÕ∑Â
3,1404,1094,843,916,0,µÕ∑Â
4,1278,1167,1078,1199,0,µÕ∑Â
5,2679,2151,2284,2295,0,µÕ∑Â
6,13700,9824,7773,8111,0,µÕ∑Â
7,37660,22774,25157,20204,1,∆Ω∑Â
8,31146,21407,19496,21477,1,∆Ω∑Â
9,23376,17567,15961,16391,1,∆Ω∑Â
10,21258,18115,14879,15978,1,∆Ω∑Â
11,23177,21667,15990,16831,1,∆Ω∑Â
12,26675,22993,16815,18427,1,∆Ω∑Â
13,28633,23594,17286,19832,1,∆Ω∑Â
14,26191,21012,16799,19130,1,∆Ω∑Â
15,28554,23775,17583,20938,1,∆Ω∑Â
16,31814,29570,22048,26836,1,∆Ω∑Â
17,30343,31594,23622,32756,1,∆Ω∑Â
18,30018,28382,17073,23076,1,∆Ω∑Â
19,29281,26596,16825,18559,1,∆Ω∑Â
20,25533,24077,13532,14223,1,∆Ω∑Â
21,20927,20144,10720,10548,1,∆Ω∑Â
22,13921,13151,6980,7324,1,∆Ω∑Â
23,10855,7303,5398,5988,1,∆Ω∑Â
