Сʱ,1,2,3,4
0,6750,4946,3347,3897
1,3557,3016,1860,2200
2,1872,1710,1062,1258
3,1404,1094,843,916
4,1278,1167,1078,1199
5,2679,2151,2284,2295
6,13700,9824,7773,8111
7,37660,22774,25157,20204
8,31146,21407,19496,21477
9,23376,17567,15961,16391
10,21258,18115,14879,15978
11,23177,21667,15990,16831
12,26675,22993,16815,18427
13,28633,23594,17286,19832
14,26191,21012,16799,19130
15,28554,23775,17583,20938
16,31814,29570,22048,26836
17,30343,31594,23622,32756
18,30018,28382,17073,23076
19,29281,26596,16825,18559
20,25533,24077,13532,14223
21,20927,20144,10720,10548
22,13921,13151,6980,7324
23,10855,7303,5398,5988
