小时,车流量,路口,类型
0,18940,环西路-纬中路,工作日
1,10633,环西路-纬中路,工作日
2,5902,环西路-纬中路,工作日
3,4257,环西路-纬中路,工作日
4,4722,环西路-纬中路,工作日
5,9409,环西路-纬中路,工作日
6,39408,环西路-纬中路,工作日
7,105795,环西路-纬中路,工作日
8,93526,环西路-纬中路,工作日
9,73295,环西路-纬中路,工作日
10,70230,环西路-纬中路,工作日
11,77665,环西路-纬中路,工作日
12,84910,环西路-纬中路,工作日
13,89345,环西路-纬中路,工作日
14,83132,环西路-纬中路,工作日
15,90850,环西路-纬中路,工作日
16,110268,环西路-纬中路,工作日
17,118315,环西路-纬中路,工作日
18,98549,环西路-纬中路,工作日
19,91261,环西路-纬中路,工作日
20,77365,环西路-纬中路,工作日
21,62339,环西路-纬中路,工作日
22,41376,环西路-纬中路,工作日
23,29544,环西路-纬中路,工作日
