–° ±,1,2,3,4,æ€¿‡±Í«©, ±∂Œ
0,2647,1818,1303,1423,0,µÕ∑Â
1,1337,1159,827,812,0,µÕ∑Â
2,742,643,428,487,0,µÕ∑Â
3,576,389,313,352,0,µÕ∑Â
4,502,391,400,407,0,µÕ∑Â
5,991,808,900,770,0,µÕ∑Â
6,4117,3057,2537,2317,0,µÕ∑Â
7,11396,6206,7627,5283,1,∆Ω∑Â
8,10482,7134,6497,6103,1,∆Ω∑Â
9,10641,7864,6619,6295,1,∆Ω∑Â
10,10187,8147,6460,6396,1,∆Ω∑Â
11,10934,10065,7007,6835,1,∆Ω∑Â
12,11857,10362,7489,7445,1,∆Ω∑Â
13,13026,10868,7544,7319,1,∆Ω∑Â
14,11133,9293,6675,6919,1,∆Ω∑Â
15,10987,9624,6599,6846,1,∆Ω∑Â
16,11022,9949,7350,8870,1,∆Ω∑Â
17,9063,9678,7125,10203,1,∆Ω∑Â
18,8859,8925,5264,6440,1,∆Ω∑Â
19,10018,8444,5448,5480,1,∆Ω∑Â
20,9704,9557,5133,4995,1,∆Ω∑Â
21,8305,7718,4293,4000,1,∆Ω∑Â
22,5678,4862,2879,2971,1,∆Ω∑Â
23,4475,3015,2251,2604,1,∆Ω∑Â
