小时,车流量,路口,类型
0,7191,环西路-纬中路,节假日
1,4135,环西路-纬中路,节假日
2,2300,环西路-纬中路,节假日
3,1630,环西路-纬中路,节假日
4,1700,环西路-纬中路,节假日
5,3469,环西路-纬中路,节假日
6,12028,环西路-纬中路,节假日
7,30512,环西路-纬中路,节假日
8,30216,环西路-纬中路,节假日
9,31419,环西路-纬中路,节假日
10,31190,环西路-纬中路,节假日
11,34841,环西路-纬中路,节假日
12,37153,环西路-纬中路,节假日
13,38757,环西路-纬中路,节假日
14,34020,环西路-纬中路,节假日
15,34056,环西路-纬中路,节假日
16,37191,环西路-纬中路,节假日
17,36069,环西路-纬中路,节假日
18,29488,环西路-纬中路,节假日
19,29390,环西路-纬中路,节假日
20,29389,环西路-纬中路,节假日
21,24316,环西路-纬中路,节假日
22,16390,环西路-纬中路,节假日
23,12345,环西路-纬中路,节假日
