–° ±,1,2,3,4,æ€¿‡±Í«©, ±∂Œ
0,1985,1735,76,18,0,µÕ∑Â
1,1140,1011,42,12,0,µÕ∑Â
2,715,499,29,10,0,µÕ∑Â
3,505,377,25,6,0,µÕ∑Â
4,586,413,18,8,0,µÕ∑Â
5,1651,759,49,17,0,µÕ∑Â
6,8282,4055,248,25,0,µÕ∑Â
7,14182,4919,674,160,1,∆Ω∑Â
8,13679,5473,534,199,1,∆Ω∑Â
9,12502,6744,340,241,1,∆Ω∑Â
10,13880,8183,382,258,1,∆Ω∑Â
11,14610,8658,460,229,1,∆Ω∑Â
12,14582,8564,546,188,1,∆Ω∑Â
13,14407,8351,535,171,1,∆Ω∑Â
14,13377,8505,455,123,1,∆Ω∑Â
15,14015,9463,463,142,1,∆Ω∑Â
16,14744,10855,463,141,1,∆Ω∑Â
17,14173,10807,453,222,1,∆Ω∑Â
18,14010,8653,456,169,1,∆Ω∑Â
19,13207,9367,381,154,1,∆Ω∑Â
20,11627,8948,329,118,1,∆Ω∑Â
21,8255,6421,258,143,1,∆Ω∑Â
22,5857,4369,206,71,1,∆Ω∑Â
23,3725,3320,132,58,1,∆Ω∑Â
