小时,车流量,路口,类型
0,3814,纬中路-景区出入口,工作日
1,2205,纬中路-景区出入口,工作日
2,1253,纬中路-景区出入口,工作日
3,913,纬中路-景区出入口,工作日
4,1025,纬中路-景区出入口,工作日
5,2476,纬中路-景区出入口,工作日
6,12610,纬中路-景区出入口,工作日
7,19935,纬中路-景区出入口,工作日
8,19885,纬中路-景区出入口,工作日
9,19827,纬中路-景区出入口,工作日
10,22703,纬中路-景区出入口,工作日
11,23957,纬中路-景区出入口,工作日
12,23880,纬中路-景区出入口,工作日
13,23464,纬中路-景区出入口,工作日
14,22460,纬中路-景区出入口,工作日
15,24083,纬中路-景区出入口,工作日
16,26203,纬中路-景区出入口,工作日
17,25655,纬中路-景区出入口,工作日
18,23288,纬中路-景区出入口,工作日
19,23109,纬中路-景区出入口,工作日
20,21022,纬中路-景区出入口,工作日
21,15077,纬中路-景区出入口,工作日
22,10503,纬中路-景区出入口,工作日
23,7235,纬中路-景区出入口,工作日
