小时,车流量,路口,类型
0,1911,纬中路-景区出入口,节假日
1,1119,纬中路-景区出入口,节假日
2,636,纬中路-景区出入口,节假日
3,403,纬中路-景区出入口,节假日
4,419,纬中路-景区出入口,节假日
5,948,纬中路-景区出入口,节假日
6,3025,纬中路-景区出入口,节假日
7,6865,纬中路-景区出入口,节假日
8,7473,纬中路-景区出入口,节假日
9,8556,纬中路-景区出入口,节假日
10,8127,纬中路-景区出入口,节假日
11,9215,纬中路-景区出入口,节假日
12,10359,纬中路-景区出入口,节假日
13,9656,纬中路-景区出入口,节假日
14,10765,纬中路-景区出入口,节假日
15,10228,纬中路-景区出入口,节假日
16,9490,纬中路-景区出入口,节假日
17,8904,纬中路-景区出入口,节假日
18,9723,纬中路-景区出入口,节假日
19,9765,纬中路-景区出入口,节假日
20,8990,纬中路-景区出入口,节假日
21,6643,纬中路-景区出入口,节假日
22,5002,纬中路-景区出入口,节假日
23,3154,纬中路-景区出入口,节假日
