Сʱ,1,2,3,4
0,2200,2633,1244,2190
1,1132,1450,645,1422
2,691,882,427,803
3,519,571,194,476
4,551,613,253,403
5,966,965,391,597
6,4805,3821,1876,2343
7,11388,7850,6154,5351
8,9822,9942,5888,5289
9,7488,8852,3729,4437
10,7385,9612,3590,4247
11,8376,11703,4702,5207
12,8386,10637,3972,5372
13,8858,11026,3973,5355
14,9506,11320,3839,5076
15,10197,13056,4505,5811
16,11731,15432,5582,6383
17,11556,19175,7507,7570
18,12129,15028,6395,7563
19,11054,13755,5347,7387
20,9955,12565,4425,6796
21,7872,9544,3442,5330
22,5288,6561,2264,4061
23,4120,4654,2069,3801
