小时,车流量,路口,类型
0,8267,经一路-纬中路,工作日
1,4649,经一路-纬中路,工作日
2,2803,经一路-纬中路,工作日
3,1760,经一路-纬中路,工作日
4,1820,经一路-纬中路,工作日
5,2919,经一路-纬中路,工作日
6,12845,经一路-纬中路,工作日
7,30743,经一路-纬中路,工作日
8,30941,经一路-纬中路,工作日
9,24506,经一路-纬中路,工作日
10,24834,经一路-纬中路,工作日
11,29988,经一路-纬中路,工作日
12,28367,经一路-纬中路,工作日
13,29212,经一路-纬中路,工作日
14,29741,经一路-纬中路,工作日
15,33569,经一路-纬中路,工作日
16,39128,经一路-纬中路,工作日
17,45808,经一路-纬中路,工作日
18,41115,经一路-纬中路,工作日
19,37543,经一路-纬中路,工作日
20,33741,经一路-纬中路,工作日
21,26188,经一路-纬中路,工作日
22,18174,经一路-纬中路,工作日
23,14644,经一路-纬中路,工作日
