–° ±,1,2,3,4,æ€¿‡±Í«©, ±∂Œ
0,961,1100,528,944,0,µÕ∑Â
1,492,663,310,604,0,µÕ∑Â
2,312,368,204,394,0,µÕ∑Â
3,237,222,108,204,0,µÕ∑Â
4,240,240,99,180,0,µÕ∑Â
5,418,418,189,374,0,µÕ∑Â
6,1555,1180,589,751,0,µÕ∑Â
7,3496,2154,1706,1530,1,∆Ω∑Â
8,3411,3373,1897,1960,1,∆Ω∑Â
9,4422,4721,2265,2574,1,∆Ω∑Â
10,3975,4640,1886,2305,1,∆Ω∑Â
11,3745,4800,1919,2274,1,∆Ω∑Â
12,3417,4058,1619,2143,1,∆Ω∑Â
13,3999,4366,1721,2183,1,∆Ω∑Â
14,3847,4194,1507,2124,1,∆Ω∑Â
15,4095,4893,1757,2181,1,∆Ω∑Â
16,3583,4753,1670,2080,1,∆Ω∑Â
17,3150,4980,1816,1960,1,∆Ω∑Â
18,3702,4602,1925,2578,1,∆Ω∑Â
19,3736,4540,1812,2704,1,∆Ω∑Â
20,3711,4513,1564,2389,1,∆Ω∑Â
21,2092,2621,904,1413,1,∆Ω∑Â
22,1244,1702,620,1034,1,∆Ω∑Â
23,1241,1446,694,1175,1,∆Ω∑Â
