Сʱ,1,2,3,4
0,961,1100,528,944
1,492,663,310,604
2,312,368,204,394
3,237,222,108,204
4,240,240,99,180
5,418,418,189,374
6,1555,1180,589,751
7,3496,2154,1706,1530
8,3411,3373,1897,1960
9,4422,4721,2265,2574
10,3975,4640,1886,2305
11,3745,4800,1919,2274
12,3417,4058,1619,2143
13,3999,4366,1721,2183
14,3847,4194,1507,2124
15,4095,4893,1757,2181
16,3583,4753,1670,2080
17,3150,4980,1816,1960
18,3702,4602,1925,2578
19,3736,4540,1812,2704
20,3711,4513,1564,2389
21,2092,2621,904,1413
22,1244,1702,620,1034
23,1241,1446,694,1175
