–° ±,1,2,3,4,æ€¿‡±Í«©, ±∂Œ
0,2187,1386,1290,1841,0,µÕ∑Â
1,1214,767,606,971,0,µÕ∑Â
2,705,421,386,611,0,µÕ∑Â
3,410,351,216,421,0,µÕ∑Â
4,340,412,338,411,0,µÕ∑Â
5,848,873,953,1067,0,µÕ∑Â
6,4723,4661,3516,3990,0,µÕ∑Â
7,10194,8000,7915,6864,1,∆Ω∑Â
8,9159,10564,8388,6544,1,∆Ω∑Â
9,7876,9450,6685,5859,1,∆Ω∑Â
10,8765,9698,6508,5522,1,∆Ω∑Â
11,10119,10645,7235,6317,1,∆Ω∑Â
12,10029,10724,7017,6945,1,∆Ω∑Â
13,10262,10422,6208,6475,1,∆Ω∑Â
14,9890,9657,5778,6204,1,∆Ω∑Â
15,10081,9294,5784,6661,1,∆Ω∑Â
16,11870,10454,7333,7385,1,∆Ω∑Â
17,12204,12187,7724,7202,1,∆Ω∑Â
18,11918,10638,7497,7231,1,∆Ω∑Â
19,11154,9188,6803,6965,1,∆Ω∑Â
20,10070,7801,5171,6435,1,∆Ω∑Â
21,7920,5372,3676,4912,1,∆Ω∑Â
22,5158,3615,2523,3340,1,∆Ω∑Â
23,3687,2299,2503,2968,1,∆Ω∑Â
