Сʱ,1,2,3,4
0,2187,1386,1290,1841
1,1214,767,606,971
2,705,421,386,611
3,410,351,216,421
4,340,412,338,411
5,848,873,953,1067
6,4723,4661,3516,3990
7,10194,8000,7915,6864
8,9159,10564,8388,6544
9,7876,9450,6685,5859
10,8765,9698,6508,5522
11,10119,10645,7235,6317
12,10029,10724,7017,6945
13,10262,10422,6208,6475
14,9890,9657,5778,6204
15,10081,9294,5784,6661
16,11870,10454,7333,7385
17,12204,12187,7724,7202
18,11918,10638,7497,7231
19,11154,9188,6803,6965
20,10070,7801,5171,6435
21,7920,5372,3676,4912
22,5158,3615,2523,3340
23,3687,2299,2503,2968
