小时,车流量,路口,类型
0,6704,经三路-纬中路,工作日
1,3558,经三路-纬中路,工作日
2,2123,经三路-纬中路,工作日
3,1398,经三路-纬中路,工作日
4,1501,经三路-纬中路,工作日
5,3741,经三路-纬中路,工作日
6,16890,经三路-纬中路,工作日
7,32973,经三路-纬中路,工作日
8,34655,经三路-纬中路,工作日
9,29870,经三路-纬中路,工作日
10,30493,经三路-纬中路,工作日
11,34316,经三路-纬中路,工作日
12,34715,经三路-纬中路,工作日
13,33367,经三路-纬中路,工作日
14,31529,经三路-纬中路,工作日
15,31820,经三路-纬中路,工作日
16,37042,经三路-纬中路,工作日
17,39317,经三路-纬中路,工作日
18,37284,经三路-纬中路,工作日
19,34110,经三路-纬中路,工作日
20,29477,经三路-纬中路,工作日
21,21880,经三路-纬中路,工作日
22,14636,经三路-纬中路,工作日
23,11457,经三路-纬中路,工作日
