–° ±,1,2,3,4,æ€¿‡±Í«©, ±∂Œ
0,985,634,566,825,0,µÕ∑Â
1,476,343,262,425,0,µÕ∑Â
2,262,172,137,225,0,µÕ∑Â
3,183,119,98,179,0,µÕ∑Â
4,134,148,134,155,0,µÕ∑Â
5,320,344,315,371,0,µÕ∑Â
6,1148,1085,974,1120,0,µÕ∑Â
7,2483,2168,2094,1826,1,∆Ω∑Â
8,2712,3195,2653,2174,1,∆Ω∑Â
9,3081,3385,2440,2185,1,∆Ω∑Â
10,3349,3771,2459,2357,1,∆Ω∑Â
11,3320,3591,2414,2183,1,∆Ω∑Â
12,3755,4077,2698,2617,1,∆Ω∑Â
13,3544,3474,2236,2342,1,∆Ω∑Â
14,4030,3790,2350,2413,1,∆Ω∑Â
15,3876,3244,2121,2419,1,∆Ω∑Â
16,4039,3448,2323,2354,1,∆Ω∑Â
17,3826,3612,2321,2196,1,∆Ω∑Â
18,3998,3484,2429,2365,1,∆Ω∑Â
19,4058,3059,2300,2450,1,∆Ω∑Â
20,3900,2763,1906,2322,1,∆Ω∑Â
21,3071,2075,1313,1741,1,∆Ω∑Â
22,2246,1415,975,1289,1,∆Ω∑Â
23,1574,952,1028,1260,1,∆Ω∑Â
