–° ±,1,2,3,4,æ€¿‡±Í«©, ±∂Œ
0,1136,683,1279,1527,0,µÕ∑Â
1,593,386,864,837,0,µÕ∑Â
2,398,257,624,557,0,µÕ∑Â
3,346,191,392,663,0,µÕ∑Â
4,250,192,568,867,0,µÕ∑Â
5,658,496,2088,2132,0,µÕ∑Â
6,2668,1988,8042,5146,0,µÕ∑Â
7,6085,4288,17634,11226,1,∆Ω∑Â
8,5395,5051,13572,12398,1,∆Ω∑Â
9,5267,4655,10587,11539,1,∆Ω∑Â
10,5835,4606,9793,12442,1,∆Ω∑Â
11,5660,4442,8812,12311,1,∆Ω∑Â
12,6059,4863,9666,11997,1,∆Ω∑Â
13,6476,5091,10854,12126,1,∆Ω∑Â
14,6507,4698,10354,12038,1,∆Ω∑Â
15,7036,4761,10469,12985,1,∆Ω∑Â
16,7204,5148,10534,17658,1,∆Ω∑Â
17,7046,5444,10584,23983,1,∆Ω∑Â
18,6139,5099,8342,14830,1,∆Ω∑Â
19,6533,4725,7949,10807,1,∆Ω∑Â
20,6657,4106,6956,8861,1,∆Ω∑Â
21,6294,3089,5189,5750,1,∆Ω∑Â
22,3787,2012,3181,3828,1,∆Ω∑Â
23,2089,1321,2222,2666,1,∆Ω∑Â
