Сʱ,1,2,3,4
0,1136,683,1279,1527
1,593,386,864,837
2,398,257,624,557
3,346,191,392,663
4,250,192,568,867
5,658,496,2088,2132
6,2668,1988,8042,5146
7,6085,4288,17634,11226
8,5395,5051,13572,12398
9,5267,4655,10587,11539
10,5835,4606,9793,12442
11,5660,4442,8812,12311
12,6059,4863,9666,11997
13,6476,5091,10854,12126
14,6507,4698,10354,12038
15,7036,4761,10469,12985
16,7204,5148,10534,17658
17,7046,5444,10584,23983
18,6139,5099,8342,14830
19,6533,4725,7949,10807
20,6657,4106,6956,8861
21,6294,3089,5189,5750
22,3787,2012,3181,3828
23,2089,1321,2222,2666
