小时,车流量,路口,类型
0,4625,经中路-环北路,工作日
1,2680,经中路-环北路,工作日
2,1836,经中路-环北路,工作日
3,1592,经中路-环北路,工作日
4,1877,经中路-环北路,工作日
5,5374,经中路-环北路,工作日
6,17844,经中路-环北路,工作日
7,39233,经中路-环北路,工作日
8,36416,经中路-环北路,工作日
9,32048,经中路-环北路,工作日
10,32676,经中路-环北路,工作日
11,31225,经中路-环北路,工作日
12,32585,经中路-环北路,工作日
13,34547,经中路-环北路,工作日
14,33597,经中路-环北路,工作日
15,35251,经中路-环北路,工作日
16,40544,经中路-环北路,工作日
17,47057,经中路-环北路,工作日
18,34410,经中路-环北路,工作日
19,30014,经中路-环北路,工作日
20,26580,经中路-环北路,工作日
21,20322,经中路-环北路,工作日
22,12808,经中路-环北路,工作日
23,8298,经中路-环北路,工作日
