–° ±,1,2,3,4,æ€¿‡±Í«©, ±∂Œ
0,521,333,572,646,0,µÕ∑Â
1,270,159,381,313,0,µÕ∑Â
2,195,109,293,257,0,µÕ∑Â
3,157,76,159,245,0,µÕ∑Â
4,93,72,193,327,0,µÕ∑Â
5,273,197,821,795,0,µÕ∑Â
6,1081,627,2722,1678,0,µÕ∑Â
7,2048,1351,5381,3298,1,∆Ω∑Â
8,2106,1752,4602,3983,1,∆Ω∑Â
9,2122,1685,3711,3969,1,∆Ω∑Â
10,2374,1622,3635,4577,1,∆Ω∑Â
11,2666,1783,3678,5350,1,∆Ω∑Â
12,2561,1788,3649,4510,1,∆Ω∑Â
13,2530,1732,3539,4199,1,∆Ω∑Â
14,2574,1551,3623,4245,1,∆Ω∑Â
15,2293,1205,3252,3743,1,∆Ω∑Â
16,2871,1487,3595,5577,1,∆Ω∑Â
17,2154,1393,3091,6156,1,∆Ω∑Â
18,2156,1647,2877,4896,1,∆Ω∑Â
19,2532,1536,3236,3688,1,∆Ω∑Â
20,2482,1303,2622,2906,1,∆Ω∑Â
21,2167,891,1826,1815,1,∆Ω∑Â
22,1492,544,1185,1179,1,∆Ω∑Â
23,689,342,742,902,1,∆Ω∑Â
