Сʱ,1,2,3,4
0,521,333,572,646
1,270,159,381,313
2,195,109,293,257
3,157,76,159,245
4,93,72,193,327
5,273,197,821,795
6,1081,627,2722,1678
7,2048,1351,5381,3298
8,2106,1752,4602,3983
9,2122,1685,3711,3969
10,2374,1622,3635,4577
11,2666,1783,3678,5350
12,2561,1788,3649,4510
13,2530,1732,3539,4199
14,2574,1551,3623,4245
15,2293,1205,3252,3743
16,2871,1487,3595,5577
17,2154,1393,3091,6156
18,2156,1647,2877,4896
19,2532,1536,3236,3688
20,2482,1303,2622,2906
21,2167,891,1826,1815
22,1492,544,1185,1179
23,689,342,742,902
