Сʱ,1,2,3,4
0,1300,2512,2233,2217
1,844,1342,1144,1154
2,577,899,822,666
3,604,732,543,600
4,762,975,656,729
5,2139,2331,1708,1837
6,7362,6520,7166,7788
7,11947,10743,14728,11657
8,11811,10255,14256,10624
9,12481,12425,14248,10679
10,11618,11358,13695,10581
11,12114,12409,15218,10631
12,11686,12229,13006,11593
13,12200,13344,13801,11506
14,11470,13408,12383,11777
15,13946,14633,13921,12521
16,13552,15073,15357,13365
17,11640,12869,14268,10859
18,12384,13390,14774,12575
19,10078,12749,12904,11280
20,7872,11133,10863,11409
21,5158,8362,7583,8465
22,3268,5645,4905,5465
23,2275,5399,3928,3811
