小时,车流量,路口,类型
0,8262,经中路-环南路,工作日
1,4484,经中路-环南路,工作日
2,2964,经中路-环南路,工作日
3,2479,经中路-环南路,工作日
4,3122,经中路-环南路,工作日
5,8015,经中路-环南路,工作日
6,28836,经中路-环南路,工作日
7,49075,经中路-环南路,工作日
8,46946,经中路-环南路,工作日
9,49833,经中路-环南路,工作日
10,47252,经中路-环南路,工作日
11,50372,经中路-环南路,工作日
12,48514,经中路-环南路,工作日
13,50851,经中路-环南路,工作日
14,49038,经中路-环南路,工作日
15,55021,经中路-环南路,工作日
16,57347,经中路-环南路,工作日
17,49636,经中路-环南路,工作日
18,53123,经中路-环南路,工作日
19,47011,经中路-环南路,工作日
20,41277,经中路-环南路,工作日
21,29568,经中路-环南路,工作日
22,19283,经中路-环南路,工作日
23,15413,经中路-环南路,工作日
