–° ±,1,2,3,4,æ€¿‡±Í«©, ±∂Œ
0,521,1184,915,901,0,µÕ∑Â
1,362,607,463,495,0,µÕ∑Â
2,221,341,302,269,0,µÕ∑Â
3,230,294,214,264,0,µÕ∑Â
4,298,372,239,281,0,µÕ∑Â
5,751,899,667,703,0,µÕ∑Â
6,2312,2176,2172,2204,0,µÕ∑Â
7,4231,3857,4708,3804,1,∆Ω∑Â
8,4910,4818,5606,4092,1,∆Ω∑Â
9,5418,5293,5634,4161,1,∆Ω∑Â
10,5098,4940,5675,4129,1,∆Ω∑Â
11,5474,5442,6363,4216,1,∆Ω∑Â
12,5380,5735,5673,4957,1,∆Ω∑Â
13,5198,5976,5642,4707,1,∆Ω∑Â
14,5168,5486,5081,4597,1,∆Ω∑Â
15,5280,5460,5039,4345,1,∆Ω∑Â
16,5401,6092,5724,5083,1,∆Ω∑Â
17,5158,5813,5989,4619,1,∆Ω∑Â
18,4345,4863,5355,4437,1,∆Ω∑Â
19,3727,4971,4869,4339,1,∆Ω∑Â
20,2788,4208,3959,4160,1,∆Ω∑Â
21,1782,3025,2802,2966,1,∆Ω∑Â
22,1180,2133,1832,2020,1,∆Ω∑Â
23,868,2043,1552,1457,1,∆Ω∑Â
