Сʱ,1,2,3,4
0,519,1182,914,901
1,362,607,463,495
2,221,341,302,269
3,230,294,214,264
4,298,372,239,281
5,751,899,667,703
6,2312,2176,2172,2204
7,4231,3857,4708,3804
8,4910,4818,5606,4092
9,5418,5293,5634,4161
10,5098,4940,5675,4129
11,5474,5442,6363,4216
12,5380,5735,5673,4957
13,5198,5976,5642,4707
14,5168,5486,5081,4597
15,5280,5460,5039,4345
16,5401,6092,5724,5083
17,5158,5813,5989,4619
18,4345,4863,5355,4437
19,3727,4971,4869,4339
20,2788,4208,3959,4160
21,1782,3025,2802,2966
22,1180,2133,1832,2020
23,868,2043,1552,1457
