Сʱ,1,2,3,4
0,842,665,2123,1979
1,463,407,1314,1126
2,259,300,1023,798
3,216,173,745,1055
4,231,219,829,1657
5,650,339,2203,2311
6,3666,676,7486,5125
7,6379,1059,11642,8756
8,4526,1271,11358,9623
9,5126,1551,12065,10754
10,5357,1676,11630,11293
11,6036,1847,11995,11734
12,5739,2049,11665,11969
13,5783,2006,11890,12351
14,6008,1847,11401,12514
15,6387,1904,11603,13182
16,6966,1846,11477,15403
17,5755,1453,9885,15604
18,5521,1709,11698,13648
19,5775,1893,10602,10629
20,5752,1638,8827,9575
21,4413,1527,6744,6736
22,2376,1105,4571,4481
23,1622,967,3494,3018
