小时,车流量,路口,类型
0,5609,经中路-纬一路,工作日
1,3310,经中路-纬一路,工作日
2,2380,经中路-纬一路,工作日
3,2189,经中路-纬一路,工作日
4,2936,经中路-纬一路,工作日
5,5503,经中路-纬一路,工作日
6,16953,经中路-纬一路,工作日
7,27836,经中路-纬一路,工作日
8,26778,经中路-纬一路,工作日
9,29496,经中路-纬一路,工作日
10,29956,经中路-纬一路,工作日
11,31612,经中路-纬一路,工作日
12,31422,经中路-纬一路,工作日
13,32030,经中路-纬一路,工作日
14,31770,经中路-纬一路,工作日
15,33076,经中路-纬一路,工作日
16,35692,经中路-纬一路,工作日
17,32697,经中路-纬一路,工作日
18,32576,经中路-纬一路,工作日
19,28899,经中路-纬一路,工作日
20,25792,经中路-纬一路,工作日
21,19420,经中路-纬一路,工作日
22,12533,经中路-纬一路,工作日
23,9101,经中路-纬一路,工作日
