–° ±,1,2,3,4,æ€¿‡±Í«©, ±∂Œ
0,415,206,1072,809,0,µÕ∑Â
1,194,127,608,473,0,µÕ∑Â
2,118,78,495,324,0,µÕ∑Â
3,102,60,350,428,0,µÕ∑Â
4,76,62,340,647,0,µÕ∑Â
5,227,99,910,906,0,µÕ∑Â
6,948,186,2769,1667,0,µÕ∑Â
7,1818,339,5009,2983,1,∆Ω∑Â
8,1882,504,5634,3919,1,∆Ω∑Â
9,2125,583,5661,4462,1,∆Ω∑Â
10,2103,727,5190,4531,1,∆Ω∑Â
11,2470,724,5837,4954,1,∆Ω∑Â
12,2427,872,6004,4974,1,∆Ω∑Â
13,2465,861,5742,4875,1,∆Ω∑Â
14,2426,777,5377,5355,1,∆Ω∑Â
15,2436,784,5381,5060,1,∆Ω∑Â
16,2829,871,5531,6291,1,∆Ω∑Â
17,2377,736,5358,6690,1,∆Ω∑Â
18,2031,815,5036,4805,1,∆Ω∑Â
19,2068,868,4876,4051,1,∆Ω∑Â
20,2204,836,3961,3503,1,∆Ω∑Â
21,1559,632,2938,2386,1,∆Ω∑Â
22,928,484,2181,1754,1,∆Ω∑Â
23,609,480,1578,1160,1,∆Ω∑Â
