Сʱ,1,2,3,4
0,415,206,1072,809
1,194,127,608,473
2,118,78,495,324
3,102,60,350,428
4,76,62,340,647
5,227,99,910,906
6,948,186,2769,1667
7,1818,339,5009,2983
8,1882,504,5634,3919
9,2125,583,5661,4462
10,2103,727,5190,4531
11,2470,724,5837,4954
12,2427,872,6004,4974
13,2465,861,5742,4875
14,2426,777,5377,5355
15,2436,784,5381,5060
16,2829,871,5531,6291
17,2377,736,5358,6690
18,2031,815,5036,4805
19,2068,868,4876,4051
20,2204,836,3961,3503
21,1559,632,2938,2386
22,928,484,2181,1754
23,609,480,1578,1160
