–° ±,1,2,3,4,æ€¿‡±Í«©, ±∂Œ
0,463,488,49,49,0,µÕ∑Â
1,259,232,22,22,0,µÕ∑Â
2,148,112,10,11,0,µÕ∑Â
3,122,103,42,8,0,µÕ∑Â
4,131,212,44,34,0,µÕ∑Â
5,205,485,108,81,0,µÕ∑Â
6,733,1714,507,926,0,µÕ∑Â
7,1288,3219,1253,1467,1,∆Ω∑Â
8,2167,3156,822,1091,1,∆Ω∑Â
9,2737,3198,720,829,1,∆Ω∑Â
10,3705,3087,788,795,1,∆Ω∑Â
11,3700,2832,689,763,1,∆Ω∑Â
12,4265,3869,688,847,1,∆Ω∑Â
13,4029,3754,702,887,1,∆Ω∑Â
14,4158,3742,779,808,1,∆Ω∑Â
15,3985,3699,778,986,1,∆Ω∑Â
16,4932,3246,1009,995,1,∆Ω∑Â
17,6472,3123,728,1089,1,∆Ω∑Â
18,3835,2967,586,951,1,∆Ω∑Â
19,3494,3329,450,706,1,∆Ω∑Â
20,2862,2995,348,449,1,∆Ω∑Â
21,2150,2202,228,300,1,∆Ω∑Â
22,1492,1263,139,261,1,∆Ω∑Â
23,911,813,77,133,1,∆Ω∑Â
