–° ±,1,2,3,4,æ€¿‡±Í«©, ±∂Œ
0,175,181,15,17,0,µÕ∑Â
1,94,98,6,14,0,µÕ∑Â
2,65,53,3,6,0,µÕ∑Â
3,42,32,14,3,0,µÕ∑Â
4,50,73,15,10,0,µÕ∑Â
5,94,202,32,21,0,µÕ∑Â
6,278,637,128,246,0,µÕ∑Â
7,476,1296,323,473,0,µÕ∑Â
8,680,1170,282,384,0,µÕ∑Â
9,1069,1191,226,404,1,∆Ω∑Â
10,1659,1426,299,379,1,∆Ω∑Â
11,2162,1747,305,473,1,∆Ω∑Â
12,1979,2103,267,426,1,∆Ω∑Â
13,1610,1868,220,339,1,∆Ω∑Â
14,1348,1372,195,273,1,∆Ω∑Â
15,1400,1363,216,317,1,∆Ω∑Â
16,2063,1582,262,513,1,∆Ω∑Â
17,2356,1161,245,410,1,∆Ω∑Â
18,1674,1356,240,418,1,∆Ω∑Â
19,1579,1296,165,239,1,∆Ω∑Â
20,1195,1072,127,187,1,∆Ω∑Â
21,911,758,68,94,1,∆Ω∑Â
22,822,504,68,112,1,∆Ω∑Â
23,319,284,33,65,1,∆Ω∑Â
