–° ±,1,2,3,4,æ€¿‡±Í«©, ±∂Œ
0,483,624,483,598,0,µÕ∑Â
1,347,375,287,282,0,µÕ∑Â
2,214,147,171,121,0,µÕ∑Â
3,136,102,106,122,0,µÕ∑Â
4,193,190,224,261,0,µÕ∑Â
5,477,370,623,589,0,µÕ∑Â
6,501,421,881,939,1,∆Ω∑Â
7,459,319,804,596,0,µÕ∑Â
8,409,311,837,433,0,µÕ∑Â
9,575,425,899,527,1,∆Ω∑Â
10,507,406,858,425,1,∆Ω∑Â
11,566,461,941,526,1,∆Ω∑Â
12,510,408,843,526,1,∆Ω∑Â
13,612,528,772,581,1,∆Ω∑Â
14,551,386,747,564,1,∆Ω∑Â
15,640,438,810,659,1,∆Ω∑Â
16,441,320,605,474,1,∆Ω∑Â
17,438,311,704,534,1,∆Ω∑Â
18,588,400,793,575,1,∆Ω∑Â
19,710,479,837,645,1,∆Ω∑Â
20,798,592,786,744,1,∆Ω∑Â
21,585,544,756,777,1,∆Ω∑Â
22,795,669,787,894,1,∆Ω∑Â
23,632,765,657,650,1,∆Ω∑Â
