–° ±,1,2,3,4,æ€¿‡±Í«©, ±∂Œ
0,240,263,211,240,0,µÕ∑Â
1,147,161,142,130,0,µÕ∑Â
2,78,62,55,48,0,µÕ∑Â
3,50,38,47,42,0,µÕ∑Â
4,66,65,105,102,0,µÕ∑Â
5,198,141,239,212,0,µÕ∑Â
6,231,164,265,295,0,µÕ∑Â
7,181,156,292,282,0,µÕ∑Â
8,155,126,281,182,0,µÕ∑Â
9,208,141,423,195,1,∆Ω∑Â
10,227,152,325,183,1,∆Ω∑Â
11,214,164,362,150,1,∆Ω∑Â
12,180,120,333,183,1,∆Ω∑Â
13,195,159,333,197,1,∆Ω∑Â
14,214,177,277,183,1,∆Ω∑Â
15,224,157,292,225,1,∆Ω∑Â
16,141,96,254,165,1,∆Ω∑Â
17,180,115,325,207,1,∆Ω∑Â
18,234,159,296,187,1,∆Ω∑Â
19,285,166,261,212,1,∆Ω∑Â
20,261,180,265,314,1,∆Ω∑Â
21,258,233,273,270,1,∆Ω∑Â
22,268,235,280,352,1,∆Ω∑Â
23,238,258,306,254,1,∆Ω∑Â
