–° ±,1,2,3,4,æ€¿‡±Í«©, ±∂Œ
0,1964,871,1038,2012,1,µÕ∑Â
1,1055,473,581,1096,1,µÕ∑Â
2,664,262,474,649,1,µÕ∑Â
3,408,202,355,724,1,µÕ∑Â
4,408,291,342,1050,1,µÕ∑Â
5,996,451,1042,1614,1,µÕ∑Â
6,2771,1098,2506,3125,1,µÕ∑Â
7,5473,2168,5233,5441,2,∆Ω∑Â
8,6944,3490,6518,7582,0,∏ﬂ∑Â
9,7705,3999,7023,8957,0,∏ﬂ∑Â
10,8514,3777,6852,9031,0,∏ﬂ∑Â
11,9472,3705,7052,8789,0,∏ﬂ∑Â
12,9414,3722,6807,9381,0,∏ﬂ∑Â
13,9806,3475,6508,9017,0,∏ﬂ∑Â
14,9996,3537,6160,9212,0,∏ﬂ∑Â
15,10019,3725,6120,9294,0,∏ﬂ∑Â
16,9746,3640,5513,10191,0,∏ﬂ∑Â
17,9231,3121,5861,10255,0,∏ﬂ∑Â
18,9540,3544,5683,9156,0,∏ﬂ∑Â
19,9524,3525,5051,8793,0,∏ﬂ∑Â
20,9263,3095,4119,8407,0,∏ﬂ∑Â
21,7588,2409,2963,6582,2,∆Ω∑Â
22,5456,1754,1956,4610,2,∆Ω∑Â
23,3248,1460,1489,3140,1,µÕ∑Â
