车牌号,num_events,total_repeat_count,total_low_speed_count,first_start,last_end,total_duration_min,mean_duration_min,low_event_count,mean_speed_kmh,median_speed_kmh
3B56PBV,3,10,12,2024-05-03 11:01:37.600,2024-05-03 12:20:10.000,184.6394,61.54646666666667,5,4.282588920261409,3.661289994508065
3F7A75M,1,3,3,2024-05-03 08:20:56.937,2024-05-03 09:07:16.077,46.318999999999996,46.318999999999996,7,6.172791724276556,7.028696606310988
3N5BPDD,3,10,6,2024-05-01 03:18:15.452,2024-05-03 03:21:32.324,145.47106666666667,48.49035555555556,5,5.948126670290961,5.010215272249531
3N79450,2,7,4,2024-05-05 14:05:39.178,2024-05-05 15:34:43.841,177.99084999999997,88.99542499999998,9,5.132798265136316,6.484173213880453
4BCA5BH,1,3,1,2024-05-03 11:18:24.573,2024-05-03 11:50:14.195,31.827033333333336,31.827033333333336,4,0.36357501874152853,0.20201587874080565
4C2KAAB,3,10,6,2024-05-01 07:54:50.267,2024-05-01 17:31:44.635,165.29551666666666,55.098505555555555,13,3.761047295420394,1.7521010611892096
5B4K167,4,13,7,2024-05-02 06:21:46.127,2024-05-03 20:49:11.000,221.99086666666668,55.49771666666667,12,6.094098380521513,5.514212014671961
5B79GCB,1,3,2,2024-05-05 11:55:46.795,2024-05-05 12:50:57.711,55.18193333333333,55.18193333333333,2,11.762893960125387,11.762893960125387
5C3YAE2,1,3,2,2024-05-02 13:25:19.976,2024-05-02 14:13:38.187,48.30351666666666,48.30351666666666,4,5.478544491066909,6.026826884021583
AB0767R,1,3,4,2024-05-01 17:16:27.963,2024-05-01 18:03:27.772,46.99681666666667,46.99681666666667,12,2.6887137561981933,1.3586414114238234
AB1316D,1,3,2,2024-05-01 17:31:31.457,2024-05-01 18:22:09.439,50.63303333333333,50.63303333333333,5,5.977099246440622,5.891151163665997
AB164S9,2,6,4,2024-05-05 16:20:03.559,2024-05-05 17:46:45.000,170.04051666666666,85.02025833333333,4,3.174255116748869,0.23247657879261163
AB1C4VD,1,3,2,2024-05-01 23:00:04.387,2024-05-01 23:42:40.260,42.597883333333336,42.597883333333336,3,4.756371894033951,1.823054345250032
AB217A7K,1,3,2,2024-05-03 19:55:26.938,2024-05-03 21:24:32.717,89.09631666666668,89.09631666666668,6,1.0177223118329435,0.04259148800596525
AB2246BM,1,3,1,2024-05-02 20:02:40.164,2024-05-02 20:40:41.639,38.02458333333333,38.02458333333333,1,5.01663851775054,5.01663851775054
AB225C7K,1,3,1,2024-05-02 21:39:33.241,2024-05-02 22:34:55.291,55.3675,55.3675,10,3.082676499900976,0.22155053201666736
AB237A8I,1,3,2,2024-05-05 17:07:47.000,2024-05-05 18:30:43.000,82.93333333333334,82.93333333333334,6,2.004601418434923,0.0541911031711678
AB23DB6I,1,3,2,2024-05-02 09:01:25.000,2024-05-02 10:10:09.000,68.73333333333333,68.73333333333333,5,2.840031021872555,0.0499667776447304
AB255ACI,1,3,1,2024-05-02 08:57:31.068,2024-05-02 09:30:10.449,32.65635,32.65635,1,0.4137866350594979,0.4137866350594979
AB25968I,3,10,9,2024-05-02 16:09:45.677,2024-05-02 17:33:38.625,216.4467666666667,72.14892222222223,7,3.027146906517875,0.8666132897073784
AB266EBJ,1,3,1,2024-05-01 15:57:18.962,2024-05-01 16:31:54.312,34.589166666666664,34.589166666666664,1,5.7421579667656655,5.7421579667656655
AB267BCK,1,3,3,2024-05-02 08:12:36.748,2024-05-02 08:42:40.176,30.057133333333336,30.057133333333336,7,5.221717553983007,0.0557621957963111
AB26F37,1,3,1,2024-05-01 17:41:10.768,2024-05-01 18:26:17.776,45.1168,45.1168,2,6.391334951529266,6.391334951529266
AB280G6,1,3,1,2024-05-01 07:22:43.437,2024-05-01 08:04:48.350,42.08188333333333,42.08188333333333,1,2.9740120910113785,2.9740120910113785
AB2858FH,4,15,12,2024-05-04 08:09:18.340,2024-05-04 10:20:09.150,317.11400000000003,79.27850000000001,3,3.7627758823291573,3.6586258201419546
AB287E6J,1,3,4,2024-05-03 17:29:01.000,2024-05-03 18:55:49.000,86.8,86.8,4,8.804964636339008,9.970608447163878
AB29CVT,1,3,1,2024-05-01 23:14:10.033,2024-05-01 23:50:42.304,36.537850000000006,36.537850000000006,2,4.137630146270921,4.137630146270921
AB2A4B9H,1,3,1,2024-05-01 13:35:31.052,2024-05-01 14:27:31.874,52.0137,52.0137,15,2.380764254236659,0.3936345789608003
AB2BLBD,1,3,4,2024-05-03 17:15:32.631,2024-05-03 17:58:18.462,42.763850000000005,42.763850000000005,11,5.478168053747193,4.534164932768411
AB2C4EAN,1,3,1,2024-05-02 12:46:31.674,2024-05-02 13:41:27.381,54.92845,54.92845,1,6.015017493675878,6.015017493675878
AB2C7CDK,1,3,1,2024-05-02 10:35:38.476,2024-05-02 11:15:52.342,40.2311,40.2311,1,0.3818210744020788,0.3818210744020788
AB2CADDI,2,7,6,2024-05-03 11:17:47.890,2024-05-03 12:07:27.063,99.17591666666667,49.58795833333333,11,4.7394546110015785,4.9926358621033975
AB2CDA8K,1,3,2,2024-05-01 21:40:35.132,2024-05-01 22:28:18.508,47.72293333333334,47.72293333333334,2,13.559495991959121,13.559495991959121
AB2D567I,2,7,4,2024-05-05 14:40:40.815,2024-05-05 15:32:13.606,103.04141666666666,51.52070833333333,3,5.375267862578049,2.2703909487080844
AB2F58BM,3,10,6,2024-05-02 17:37:39.117,2024-05-02 19:00:11.081,233.32851666666667,77.77617222222223,2,9.712303756065324,9.712303756065324
AB2F75AK,1,3,2,2024-05-03 12:07:34.611,2024-05-03 12:51:35.811,44.019999999999996,44.019999999999996,2,7.219697686597279,7.219697686597279
AB2F95CI,3,10,9,2024-05-01 10:28:19.425,2024-05-01 19:11:09.732,102.96638333333333,34.32212777777777,12,2.562505081914835,0.9913856551820028
AB2FAA7I,1,3,1,2024-05-05 15:35:21.401,2024-05-05 16:14:28.964,39.12605,39.12605,1,1.3167173359004445,1.3167173359004445
AB2H4B8M,1,3,2,2024-05-02 12:06:44.021,2024-05-02 12:59:41.323,52.95503333333333,52.95503333333333,11,4.021979269248463,1.9178642663529892
AB2HA7FM,4,14,6,2024-05-01 20:48:51.451,2024-05-05 11:27:14.047,205.09068333333335,51.272670833333336,3,4.586747110630702,1.7819894328026635
AB2K9ABH,2,9,2,2024-05-03 15:30:25.359,2024-05-03 16:53:46.978,165.55318333333332,82.77659166666666,2,5.177071113399968,5.177071113399968
AB2KA2C,3,10,12,2024-05-05 11:30:57.578,2024-05-05 12:29:03.048,160.39471666666668,53.46490555555556,4,9.399423092912317,11.513526188087631
AB2KADAK,1,3,2,2024-05-03 16:35:54.994,2024-05-03 17:27:50.803,51.930150000000005,51.930150000000005,4,0.702587605996963,0.4432956002866565
AB2M6A9H,1,3,1,2024-05-04 10:56:57.574,2024-05-04 12:17:23.192,80.42696666666667,80.42696666666667,4,5.012076869433937,3.218070772000554
AB2M7BDI,2,7,8,2024-05-03 13:12:40.752,2024-05-03 13:56:56.976,87.98003333333334,43.99001666666667,6,6.609359228786271,5.890131096976564
AB2MC5DH,4,15,13,2024-04-30 23:49:34.087,2024-05-01 13:49:23.914,185.61756666666668,46.40439166666667,6,4.05111429026262,2.2123527155115763
AB2N4DBI,2,6,4,2024-05-04 19:17:45.333,2024-05-04 21:31:24.463,67.65695,33.828475,3,7.563365242407021,9.92583197772202
AB2N4DDH,2,7,4,2024-05-02 22:54:40.927,2024-05-02 23:28:40.828,67.63333333333333,33.81666666666666,2,8.391671713205989,8.391671713205989
AB2N986,1,3,2,2024-05-03 07:29:06.407,2024-05-03 08:11:20.284,42.23128333333333,42.23128333333333,4,4.676466628208605,4.549547175449598
AB2N996H,1,3,2,2024-05-05 17:55:51.216,2024-05-05 18:38:34.820,42.72673333333333,42.72673333333333,7,6.948719519084543,9.522348422728788
AB2NBYE,1,3,1,2024-05-05 13:54:46.303,2024-05-05 14:51:42.931,56.9438,56.9438,1,0.2986214142411557,0.2986214142411557
AB2NCA9I,1,3,2,2024-05-01 15:47:45.135,2024-05-01 16:48:08.073,60.3823,60.3823,2,5.371100352621875,5.371100352621875
AB2O8DDK,1,3,2,2024-05-02 18:49:57.898,2024-05-02 19:29:20.113,39.370250000000006,39.370250000000006,9,3.507596099754605,3.153269940928743
AB2OA6BI,1,3,2,2024-05-01 19:05:06.089,2024-05-01 19:40:36.639,35.50916666666667,35.50916666666667,2,6.270770241742915,6.270770241742915
AB2P6CBI,3,12,9,2024-05-03 12:43:06.759,2024-05-03 13:58:43.901,216.74788333333333,72.24929444444444,4,2.5898007680960315,1.0962056680653542
AB2PBAEI,1,3,3,2024-05-03 15:01:47.000,2024-05-03 16:02:47.000,61.0,61.0,3,7.517347002160787,7.6030209336509715
AB2Q5CEH,1,3,1,2024-05-01 17:47:51.460,2024-05-01 18:23:47.463,35.93338333333334,35.93338333333334,1,0.1081553326888076,0.1081553326888076
AB2QX7F,5,25,5,2024-05-02 09:12:10.028,2024-05-02 10:19:19.737,280.5084166666667,56.101683333333334,1,1.7594035231078105,1.7594035231078105
AB2UC8BK,1,3,1,2024-05-04 08:06:11.000,2024-05-04 09:25:38.000,79.45,79.45,5,6.7656657117034085,8.093379615474541
AB2V759K,4,18,8,2024-05-02 22:05:26.927,2024-05-02 23:07:22.995,242.0311,60.507775,2,0.5617906917444074,0.5617906917444074
AB2XC8AI,1,3,1,2024-05-02 13:07:44.184,2024-05-02 13:37:49.759,30.092916666666667,30.092916666666667,2,2.47657388018262,2.47657388018262
AB2Y1BC,2,7,2,2024-05-02 10:10:50.990,2024-05-02 10:52:53.557,84.00001666666667,42.000008333333334,1,3.0854621593778337,3.0854621593778337
AB2Y55FI,1,3,2,2024-05-04 18:41:19.878,2024-05-04 19:57:42.528,76.3775,76.3775,7,8.36150551743033,9.67741935483871
AB30487,1,3,3,2024-05-05 10:21:40.025,2024-05-05 11:42:10.328,80.50505,80.50505,7,4.284246444036191,3.0974029996627275
AB3058AK,1,3,1,2024-05-02 11:35:28.138,2024-05-02 12:09:43.810,34.2612,34.2612,1,5.5914512922465205,5.5914512922465205
AB317DCK,1,3,4,2024-05-03 07:47:28.738,2024-05-03 08:45:07.650,57.64853333333333,57.64853333333333,9,5.4990490498583,1.3735047874272424
AB3458CI,5,19,26,2024-05-04 20:31:49.515,2024-05-05 13:20:43.203,231.48476666666667,46.296953333333335,23,6.854087666274606,8.314894285357934
AB34676J,1,3,2,2024-05-01 18:49:09.436,2024-05-01 19:23:46.836,34.623333333333335,34.623333333333335,3,8.090241571473827,9.507460715700516
AB34A7BK,1,3,3,2024-05-02 07:21:54.975,2024-05-02 08:46:43.409,84.80723333333334,84.80723333333334,19,2.8219341756315237,0.7098441182316363
AB34ER8,1,3,2,2024-05-04 18:36:04.880,2024-05-04 20:05:13.215,89.13891666666667,89.13891666666667,2,7.3849876186879415,7.3849876186879415
AB354ACH,2,6,2,2024-05-03 07:38:00.800,2024-05-03 18:22:07.971,110.26763333333334,55.13381666666667,3,7.86930821354219,9.86544627442383
AB35859H,1,3,2,2024-05-03 19:18:14.000,2024-05-03 20:15:28.000,57.233333333333334,57.233333333333334,5,5.423120924273077,5.693698025235735
AB35958I,1,3,1,2024-05-03 16:35:42.951,2024-05-03 17:07:09.518,31.442783333333335,31.442783333333335,4,2.6432498463975,2.569032384694924
AB378A8M,1,3,1,2024-05-01 19:22:28.096,2024-05-01 20:50:11.001,87.71508333333333,87.71508333333333,1,0.5335973652147877,0.5335973652147877
AB388DBH,2,7,8,2024-05-03 17:43:52.000,2024-05-03 19:01:04.000,137.91666666666669,68.95833333333334,4,7.698027194999852,7.723559891743984
AB3925N,1,3,1,2024-05-01 09:08:25.271,2024-05-01 09:44:22.982,35.96185,35.96185,1,9.889783853279562,9.889783853279562
AB3955BI,1,3,1,2024-05-04 21:33:06.088,2024-05-04 22:05:13.370,32.12136666666667,32.12136666666667,1,2.962285172610711,2.962285172610711
AB39756N,1,3,4,2024-05-01 20:12:18.846,2024-05-01 21:04:54.681,52.59725,52.59725,4,1.9335053913059852,0.9881571043174544
AB39CB8J,1,3,1,2024-05-04 13:03:37.641,2024-05-04 14:20:14.775,76.6189,76.6189,6,1.740556844638074,0.050079759408315355
