车牌号,交叉口,start,end,repeat_count,low_speed_count
3B56PBV,纬中路-景区出入口,2024-05-03 11:01:37.600,2024-05-03 12:11:58.964,3,4
3B56PBV,经中路-纬中路,2024-05-03 11:19:23.000,2024-05-03 12:20:10.000,4,4
3B56PBV,经中路-纬中路,2024-05-03 11:26:40.000,2024-05-03 12:20:10.000,3,4
3F7A75M,经中路-环北路,2024-05-03 08:20:56.937,2024-05-03 09:07:16.077,3,3
3N5BPDD,纬中路-景区出入口,2024-05-01 03:18:15.452,2024-05-01 04:16:57.137,4,2
3N5BPDD,纬中路-景区出入口,2024-05-01 03:43:47.815,2024-05-01 04:16:57.137,3,1
3N5BPDD,纬中路-景区出入口,2024-05-03 02:27:55.067,2024-05-03 03:21:32.324,3,3
3N79450,环西路-纬中路,2024-05-05 14:05:39.178,2024-05-05 15:34:43.841,4,2
3N79450,环西路-纬中路,2024-05-05 14:05:49.053,2024-05-05 15:34:43.841,3,2
4BCA5BH,环西路-纬中路,2024-05-03 11:18:24.573,2024-05-03 11:50:14.195,3,1
4C2KAAB,纬中路-景区出入口,2024-05-01 07:54:50.267,2024-05-01 08:52:55.208,3,2
4C2KAAB,环西路-纬中路,2024-05-01 16:38:05.641,2024-05-01 17:31:44.635,4,2
4C2KAAB,环西路-纬中路,2024-05-01 16:38:10.839,2024-05-01 17:31:44.635,3,2
5B4K167,环西路-纬中路,2024-05-02 06:21:46.127,2024-05-02 07:12:33.311,4,2
5B4K167,环西路-纬中路,2024-05-02 06:21:51.659,2024-05-02 07:12:33.311,3,2
5B4K167,环西路-纬中路,2024-05-02 10:16:11.925,2024-05-02 11:14:58.541,3,2
5B4K167,经中路-纬中路,2024-05-03 19:47:27.000,2024-05-03 20:49:11.000,3,1
5B79GCB,纬中路-景区出入口,2024-05-05 11:55:46.795,2024-05-05 12:50:57.711,3,2
5C3YAE2,经中路-环北路,2024-05-02 13:25:19.976,2024-05-02 14:13:38.187,3,2
AB0767R,纬中路-景区出入口,2024-05-01 17:16:27.963,2024-05-01 18:03:27.772,3,4
AB1316D,经中路-环北路,2024-05-01 17:31:31.457,2024-05-01 18:22:09.439,3,2
AB164S9,经中路-纬中路,2024-05-05 16:22:31.000,2024-05-05 17:46:45.000,3,2
AB164S9,经三路-纬中路,2024-05-05 16:20:03.559,2024-05-05 17:45:51.990,3,2
AB1C4VD,环西路-纬中路,2024-05-01 23:00:04.387,2024-05-01 23:42:40.260,3,2
AB217A7K,环西路-纬中路,2024-05-03 19:55:26.938,2024-05-03 21:24:32.717,3,2
AB2246BM,纬中路-景区出入口,2024-05-02 20:02:40.164,2024-05-02 20:40:41.639,3,1
AB225C7K,环西路-纬中路,2024-05-02 21:39:33.241,2024-05-02 22:34:55.291,3,1
AB237A8I,经中路-纬中路,2024-05-05 17:07:47.000,2024-05-05 18:30:43.000,3,2
AB23DB6I,经中路-纬一路,2024-05-02 09:01:25.000,2024-05-02 10:10:09.000,3,2
AB255ACI,环西路-纬中路,2024-05-02 08:57:31.068,2024-05-02 09:30:10.449,3,1
AB25968I,环西路-纬中路,2024-05-02 16:09:45.677,2024-05-02 17:17:00.680,4,3
AB25968I,环西路-纬中路,2024-05-02 16:09:50.340,2024-05-02 17:17:00.680,3,3
AB25968I,经一路-纬中路,2024-05-02 16:11:37.162,2024-05-02 17:33:38.625,3,3
AB266EBJ,环西路-纬中路,2024-05-01 15:57:18.962,2024-05-01 16:31:54.312,3,1
AB267BCK,环西路-纬中路,2024-05-02 08:12:36.748,2024-05-02 08:42:40.176,3,3
AB26F37,环西路-纬中路,2024-05-01 17:41:10.768,2024-05-01 18:26:17.776,3,1
AB280G6,环西路-纬中路,2024-05-01 07:22:43.437,2024-05-01 08:04:48.350,3,1
AB2858FH,环西路-纬中路,2024-05-04 08:09:18.340,2024-05-04 09:35:50.364,5,3
AB2858FH,环西路-纬中路,2024-05-04 08:09:30.130,2024-05-04 09:35:50.364,4,3
AB2858FH,环西路-纬中路,2024-05-04 08:13:26.835,2024-05-04 09:35:50.364,3,3
