车牌号,交叉口,start,end,count
3B56PBV,纬中路-景区出入口,2024-05-03 11:16:37.600,2024-05-03 11:56:58.964,3
3B56PBV,经中路-纬中路,2024-05-03 11:34:23.000,2024-05-03 12:05:10.000,4
3B56PBV,经中路-纬中路,2024-05-03 11:41:40.000,2024-05-03 12:05:10.000,3
3BAB03C,环西路-纬中路,2024-05-03 16:04:36.600,2024-05-03 16:14:47.746,3
3F7A75M,经中路-环北路,2024-05-03 08:35:56.937,2024-05-03 08:52:16.077,3
3MY3D8B,环西路-纬中路,2024-05-03 16:59:32.745,2024-05-03 17:03:02.729,3
3N5BPDD,纬中路-景区出入口,2024-05-01 03:33:15.452,2024-05-01 04:01:57.137,4
3N5BPDD,纬中路-景区出入口,2024-05-01 03:58:47.815,2024-05-01 04:01:57.137,3
3N5BPDD,纬中路-景区出入口,2024-05-03 02:42:55.067,2024-05-03 03:06:32.324,3
3N79450,环西路-纬中路,2024-05-05 14:20:39.178,2024-05-05 15:19:43.841,4
3N79450,环西路-纬中路,2024-05-05 14:20:49.053,2024-05-05 15:19:43.841,3
3NA35ZD,环西路-纬中路,2024-05-05 17:35:49.096,2024-05-05 18:21:11.707,3
4BCA5BH,环西路-纬中路,2024-05-03 11:33:24.573,2024-05-03 11:35:14.195,3
4C2KAAB,纬中路-景区出入口,2024-05-01 08:09:50.267,2024-05-01 08:37:55.208,3
4C2KAAB,环西路-纬中路,2024-05-01 16:53:05.641,2024-05-01 17:16:44.635,4
4C2KAAB,环西路-纬中路,2024-05-01 16:53:10.839,2024-05-01 17:16:44.635,3
5B4K167,环西路-纬中路,2024-05-02 06:36:46.127,2024-05-02 06:57:33.311,4
5B4K167,环西路-纬中路,2024-05-02 06:36:51.659,2024-05-02 06:57:33.311,3
5B4K167,环西路-纬中路,2024-05-02 10:31:11.925,2024-05-02 10:59:58.541,3
5B4K167,经中路-纬中路,2024-05-03 20:02:27.000,2024-05-03 20:34:11.000,3
5B79GCB,纬中路-景区出入口,2024-05-05 12:10:46.795,2024-05-05 12:35:57.711,3
5C3YAE2,经中路-环北路,2024-05-02 13:40:19.976,2024-05-02 13:58:38.187,3
AB0767R,纬中路-景区出入口,2024-05-01 17:31:27.963,2024-05-01 17:48:27.772,3
AB1316D,经中路-环北路,2024-05-01 17:46:31.457,2024-05-01 18:07:09.439,3
AB164S9,经中路-纬中路,2024-05-05 16:37:31.000,2024-05-05 17:31:45.000,3
AB164S9,经三路-纬中路,2024-05-05 16:35:03.559,2024-05-05 17:30:51.990,3
AB1C4VD,环西路-纬中路,2024-05-01 23:15:04.387,2024-05-01 23:27:40.260,3
AB217A7K,环西路-纬中路,2024-05-03 20:10:26.938,2024-05-03 21:09:32.717,3
AB2246BM,纬中路-景区出入口,2024-05-02 20:17:40.164,2024-05-02 20:25:41.639,3
AB225C7K,环西路-纬中路,2024-05-02 21:54:33.241,2024-05-02 22:19:55.291,3
AB226ACI,环西路-纬中路,2024-05-03 12:27:52.370,2024-05-03 12:55:55.615,4
AB226ACI,环西路-纬中路,2024-05-03 12:28:37.881,2024-05-03 12:55:55.615,3
AB22CEDI,环西路-纬中路,2024-05-02 12:49:11.170,2024-05-02 12:51:37.612,3
AB237A8I,环西路-纬中路,2024-05-01 09:11:50.379,2024-05-01 09:17:50.315,3
AB237A8I,经中路-纬中路,2024-05-05 17:22:47.000,2024-05-05 18:15:43.000,3
AB23DB6I,经中路-纬一路,2024-05-02 09:16:25.000,2024-05-02 09:55:09.000,3
AB255ACI,环西路-纬中路,2024-05-02 09:12:31.068,2024-05-02 09:15:10.449,3
AB25968I,环西路-纬中路,2024-05-02 16:24:45.677,2024-05-02 17:02:00.680,4
AB25968I,环西路-纬中路,2024-05-02 16:24:50.340,2024-05-02 17:02:00.680,3
AB25968I,经一路-纬中路,2024-05-02 16:26:37.162,2024-05-02 17:18:38.625,3
AB25JIF,纬中路-景区出入口,2024-05-01 16:05:04.862,2024-05-01 16:21:08.201,3
AB264A6J,经中路-环北路,2024-05-03 09:46:18.909,2024-05-03 10:23:44.370,3
AB266EBJ,环西路-纬中路,2024-05-01 16:12:18.962,2024-05-01 16:16:54.312,3
AB267BCK,环西路-纬中路,2024-05-02 08:27:36.748,2024-05-02 08:27:40.176,3
AB268BEK,经中路-纬中路,2024-05-05 19:50:09.000,2024-05-05 19:54:25.000,3
AB26F37,环西路-纬中路,2024-05-01 17:56:10.768,2024-05-01 18:11:17.776,3
AB280G6,环西路-纬中路,2024-05-01 07:37:43.437,2024-05-01 07:49:48.350,3
AB2858FH,环西路-纬中路,2024-05-04 08:24:18.340,2024-05-04 09:20:50.364,5
AB2858FH,环西路-纬中路,2024-05-04 08:24:30.130,2024-05-04 09:20:50.364,4
AB2858FH,环西路-纬中路,2024-05-04 08:28:26.835,2024-05-04 09:20:50.364,3
AB2858FH,经中路-环北路,2024-05-04 09:33:18.097,2024-05-04 10:05:09.150,3
AB287E6J,经中路-纬中路,2024-05-03 17:44:01.000,2024-05-03 18:40:49.000,3
AB29CQ5,环西路-纬中路,2024-05-03 14:29:11.475,2024-05-03 14:49:30.202,3
AB29CVT,环西路-纬中路,2024-05-01 23:29:10.033,2024-05-01 23:35:42.304,3
AB29CVT,环西路-纬中路,2024-05-04 12:56:55.654,2024-05-04 13:52:22.549,4
AB29CVT,环西路-纬中路,2024-05-04 12:57:00.709,2024-05-04 13:52:22.549,3
AB2A4B9H,环西路-纬中路,2024-05-01 13:50:31.052,2024-05-01 14:12:31.874,3
AB2A4B9H,环西路-纬中路,2024-05-03 17:03:38.478,2024-05-03 17:42:39.007,4
AB2A4B9H,环西路-纬中路,2024-05-03 17:13:33.505,2024-05-03 17:42:39.007,3
AB2A4B9H,环西路-纬中路,2024-05-04 15:07:46.120,2024-05-04 15:13:48.037,3
AB2ACE9I,环西路-纬中路,2024-05-02 08:11:44.680,2024-05-02 09:06:28.585,4
AB2ACE9I,环西路-纬中路,2024-05-02 08:39:34.073,2024-05-02 09:06:28.585,3
AB2B9D6H,环西路-纬中路,2024-05-05 20:00:10.108,2024-05-05 20:08:27.615,3
AB2BCJ1,环西路-纬中路,2024-05-05 08:31:20.832,2024-05-05 09:07:25.565,5
AB2BCJ1,环西路-纬中路,2024-05-05 08:31:24.663,2024-05-05 09:07:25.565,4
AB2BCJ1,环西路-纬中路,2024-05-05 09:02:26.032,2024-05-05 09:07:25.565,3
AB2BLBD,纬中路-景区出入口,2024-05-03 17:30:32.631,2024-05-03 17:43:18.462,3
AB2C4EAN,经五路-纬中路,2024-05-02 13:01:31.674,2024-05-02 13:26:27.381,3
AB2C7CDK,经一路-纬中路,2024-05-02 10:50:38.476,2024-05-02 11:00:52.342,3
AB2CADDI,环西路-纬中路,2024-05-03 11:32:47.890,2024-05-03 11:52:27.063,4
AB2CADDI,环西路-纬中路,2024-05-03 11:32:55.681,2024-05-03 11:52:27.063,3
AB2CAE7I,环西路-纬中路,2024-05-04 12:48:28.136,2024-05-04 13:01:24.406,3
AB2CDA8K,环西路-纬中路,2024-05-01 21:55:35.132,2024-05-01 22:13:18.508,3
AB2D567I,环西路-纬中路,2024-05-05 14:55:40.815,2024-05-05 15:17:13.606,4
AB2D567I,环西路-纬中路,2024-05-05 14:55:43.912,2024-05-05 15:17:13.606,3
AB2F58BM,环西路-纬中路,2024-05-02 17:52:39.117,2024-05-02 18:45:11.081,4
AB2F58BM,环西路-纬中路,2024-05-02 17:53:32.334,2024-05-02 18:45:11.081,3
AB2F58BM,经中路-纬中路,2024-05-02 18:01:04.000,2024-05-02 18:40:13.000,3
AB2F75AK,环西路-纬中路,2024-05-03 12:22:34.611,2024-05-03 12:36:35.811,3
AB2F95CI,环西路-纬中路,2024-05-01 10:43:19.425,2024-05-01 10:48:27.909,4
AB2F95CI,环西路-纬中路,2024-05-01 10:43:26.103,2024-05-01 10:48:27.909,3
AB2F95CI,环西路-纬中路,2024-05-01 18:53:22.039,2024-05-01 18:56:09.732,3
AB2FAA7I,环西路-纬中路,2024-05-05 15:50:21.401,2024-05-05 15:59:28.964,3
AB2FAEEM,环西路-纬中路,2024-05-03 12:24:11.181,2024-05-03 12:48:31.434,4
AB2FAEEM,环西路-纬中路,2024-05-03 12:25:38.302,2024-05-03 12:48:31.434,3
AB2H4B8M,环西路-纬中路,2024-05-01 09:14:16.386,2024-05-01 09:33:24.488,3
AB2H4B8M,环西路-纬中路,2024-05-01 09:14:57.926,2024-05-01 10:14:39.290,4
AB2H4B8M,环西路-纬中路,2024-05-01 09:33:24.488,2024-05-01 10:14:39.290,3
AB2H4B8M,环西路-纬中路,2024-05-01 10:14:33.128,2024-05-01 10:39:25.144,3
AB2H4B8M,环西路-纬中路,2024-05-02 12:21:44.021,2024-05-02 12:44:41.323,3
AB2HA7FM,环西路-纬中路,2024-05-01 21:03:51.451,2024-05-01 21:25:20.946,4
AB2HA7FM,环西路-纬中路,2024-05-01 21:04:28.819,2024-05-01 21:25:20.946,3
AB2HA7FM,环西路-纬中路,2024-05-05 10:50:48.738,2024-05-05 11:12:14.047,4
AB2HA7FM,环西路-纬中路,2024-05-05 10:50:55.537,2024-05-05 11:12:14.047,3
AB2JBO7,经五路-纬中路,2024-05-01 14:35:14.484,2024-05-01 14:44:34.469,3
AB2K9ABH,环西路-纬中路,2024-05-03 15:45:25.359,2024-05-03 16:38:46.978,5
AB2K9ABH,环西路-纬中路,2024-05-03 15:46:35.406,2024-05-03 16:38:46.978,4
AB2K9ABH,环西路-纬中路,2024-05-03 16:15:40.019,2024-05-03 16:38:46.978,3
AB2KA2C,环西路-纬中路,2024-05-05 11:45:57.578,2024-05-05 12:14:03.048,4
AB2KA2C,环西路-纬中路,2024-05-05 11:46:36.835,2024-05-05 12:14:03.048,3
AB2KA2C,经中路-纬中路,2024-05-05 11:53:35.000,2024-05-05 12:08:27.000,3
AB2KADAK,环西路-纬中路,2024-05-03 16:50:54.994,2024-05-03 17:12:50.803,3
AB2KADAK,环西路-纬中路,2024-05-05 20:08:42.417,2024-05-05 20:30:37.652,3
AB2M676H,经一路-纬中路,2024-05-05 14:43:47.072,2024-05-05 15:33:40.239,3
AB2M6A9H,环西路-纬中路,2024-05-04 11:11:57.574,2024-05-04 12:02:23.192,3
AB2M7BDI,纬中路-景区出入口,2024-05-03 13:27:40.752,2024-05-03 13:41:56.976,4
AB2M7BDI,纬中路-景区出入口,2024-05-03 13:28:14.398,2024-05-03 13:41:56.976,3
AB2MC5DH,环西路-纬中路,2024-05-01 00:04:34.087,2024-05-01 00:33:51.671,5
AB2MC5DH,环西路-纬中路,2024-05-01 00:21:21.329,2024-05-01 00:33:51.671,4
AB2MC5DH,环西路-纬中路,2024-05-01 00:23:51.800,2024-05-01 00:33:51.671,3
AB2MC5DH,环西路-纬中路,2024-05-01 13:20:34.657,2024-05-01 13:34:23.914,3
AB2N4DBI,纬中路-景区出入口,2024-05-04 19:32:45.333,2024-05-04 19:33:54.922,3
AB2N4DBI,环西路-纬中路,2024-05-04 21:09:54.635,2024-05-04 21:16:24.463,3
AB2N4DDH,环西路-纬中路,2024-05-02 23:09:40.927,2024-05-02 23:13:40.828,4
AB2N4DDH,环西路-纬中路,2024-05-02 23:10:02.729,2024-05-02 23:13:40.828,3
AB2N986,纬中路-景区出入口,2024-05-03 07:44:06.407,2024-05-03 07:56:20.284,3
AB2N996H,环西路-纬中路,2024-05-05 18:10:51.216,2024-05-05 18:23:34.820,3
AB2NBYE,环西路-纬中路,2024-05-05 14:09:46.303,2024-05-05 14:36:42.931,3
AB2NCA9I,环西路-纬中路,2024-05-01 16:02:45.135,2024-05-01 16:33:08.073,3
AB2O8DDK,纬中路-景区出入口,2024-05-02 19:04:57.898,2024-05-02 19:14:20.113,3
AB2OA6BI,环西路-纬中路,2024-05-01 19:20:06.089,2024-05-01 19:25:36.639,3
AB2OA6BI,环西路-纬中路,2024-05-01 20:50:13.230,2024-05-01 21:00:48.691,5
AB2OA6BI,环西路-纬中路,2024-05-01 20:50:19.384,2024-05-01 21:00:48.691,4
AB2OA6BI,环西路-纬中路,2024-05-01 20:55:24.447,2024-05-01 21:00:48.691,3
AB2ODB8K,经中路-环北路,2024-05-01 20:24:10.168,2024-05-01 20:37:38.386,3
AB2P6CBI,环西路-纬中路,2024-05-03 12:58:06.759,2024-05-03 13:43:43.901,5
AB2P6CBI,环西路-纬中路,2024-05-03 13:03:03.760,2024-05-03 13:43:43.901,4
AB2P6CBI,环西路-纬中路,2024-05-03 13:03:16.311,2024-05-03 13:43:43.901,3
AB2PBAEI,经中路-纬中路,2024-05-03 15:16:47.000,2024-05-03 15:47:47.000,3
AB2Q5CEH,环西路-纬中路,2024-05-01 18:02:51.460,2024-05-01 18:08:47.463,3
AB2QX7F,环西路-纬中路,2024-05-02 09:27:10.028,2024-05-02 10:04:19.737,7
AB2QX7F,环西路-纬中路,2024-05-02 09:27:13.271,2024-05-02 10:04:19.737,6
AB2QX7F,环西路-纬中路,2024-05-02 09:45:07.472,2024-05-02 10:04:19.737,5
AB2QX7F,环西路-纬中路,2024-05-02 09:45:09.421,2024-05-02 10:04:19.737,4
AB2QX7F,环西路-纬中路,2024-05-02 09:46:27.988,2024-05-02 10:04:19.737,3
AB2T5UE,环西路-纬中路,2024-05-01 08:57:11.110,2024-05-01 09:09:49.726,3
AB2UC8BK,经中路-纬中路,2024-05-04 08:21:11.000,2024-05-04 09:10:38.000,3
AB2V759K,环西路-纬中路,2024-05-02 22:20:26.927,2024-05-02 22:52:22.995,6
AB2V759K,环西路-纬中路,2024-05-02 22:20:34.888,2024-05-02 22:52:22.995,5
AB2V759K,环西路-纬中路,2024-05-02 22:23:12.510,2024-05-02 22:52:22.995,4
AB2V759K,环西路-纬中路,2024-05-02 22:23:15.789,2024-05-02 22:52:22.995,3
AB2XC8AI,环西路-纬中路,2024-05-02 13:22:44.184,2024-05-02 13:22:49.759,3
AB2Y1BC,环西路-纬中路,2024-05-02 10:25:50.990,2024-05-02 10:37:53.557,4
AB2Y1BC,环西路-纬中路,2024-05-02 10:25:56.123,2024-05-02 10:37:53.557,3
AB2Y55FI,纬中路-景区出入口,2024-05-04 18:56:19.878,2024-05-04 19:42:42.528,3
AB2ZI87,环西路-纬中路,2024-05-05 18:54:20.330,2024-05-05 19:53:03.840,3
AB30487,纬中路-景区出入口,2024-05-05 10:36:40.025,2024-05-05 11:27:10.328,3
AB3058AK,环西路-纬中路,2024-05-02 11:50:28.138,2024-05-02 11:54:43.810,3
AB30C7DM,环西路-纬中路,2024-05-04 12:23:58.622,2024-05-04 13:00:16.579,3
AB317DCK,环西路-纬中路,2024-05-03 08:02:28.738,2024-05-03 08:30:07.650,3
AB317DCK,环西路-纬中路,2024-05-04 08:46:40.083,2024-05-04 09:23:09.308,3
AB31AAEI,经中路-环北路,2024-05-04 10:27:20.302,2024-05-04 10:59:36.445,3
