交叉口,方向,方向计数
环西路-纬中路,1,16140
环西路-纬中路,2,14536
环西路-纬中路,3,10572
环西路-纬中路,4,11136
纬中路-景区出入口,1,11473
纬中路-景区出入口,2,10008
纬中路-景区出入口,4,77
经一路-纬中路,1,5050
经一路-纬中路,2,5938
经一路-纬中路,3,2508
经一路-纬中路,4,3242
经三路-纬中路,1,5055
经三路-纬中路,2,5192
经三路-纬中路,3,3621
经三路-纬中路,4,3827
经中路-环北路,1,5332
经中路-环北路,2,3121
经中路-环北路,3,6790
经中路-环北路,4,8454
经中路-环南路,1,8576
经中路-环南路,2,9550
经中路-环南路,3,8602
经中路-环南路,4,7386
经中路-纬一路,1,3934
经中路-纬一路,2,4920
经中路-纬一路,3,10857
经中路-纬一路,4,7826
经中路-纬中路,1,11386
经中路-纬中路,2,7278
经中路-纬中路,3,6981
经中路-纬中路,4,11035
经二路-纬中路,1,5144
经二路-纬中路,2,5728
经五路-纬中路,1,2402
经五路-纬中路,2,2212
经五路-纬中路,3,369
经五路-纬中路,4,460
经四路-纬中路,1,467
经四路-纬中路,2,381
经四路-纬中路,3,616
经四路-纬中路,4,432
