交叉口,时间段,车辆数,车辆密度,日期
环东路-纬中路,2024-05-01 07:00:00,230,230.0,2024-05-01
环东路-纬中路,2024-05-01 08:00:00,2353,2353.0,2024-05-01
环东路-纬中路,2024-05-01 18:00:00,281,281.0,2024-05-01
环东路-纬中路,2024-05-01 19:00:00,2098,2098.0,2024-05-01
环西路-纬中路,2024-05-01 00:00:00,1031,1031.0,2024-05-01
环西路-纬中路,2024-05-01 01:00:00,706,706.0,2024-05-01
环西路-纬中路,2024-05-01 02:00:00,402,402.0,2024-05-01
环西路-纬中路,2024-05-01 03:00:00,277,277.0,2024-05-01
环西路-纬中路,2024-05-01 04:00:00,244,244.0,2024-05-01
环西路-纬中路,2024-05-01 05:00:00,358,358.0,2024-05-01
环西路-纬中路,2024-05-01 06:00:00,890,890.0,2024-05-01
环西路-纬中路,2024-05-01 07:00:00,1998,1998.0,2024-05-01
环西路-纬中路,2024-05-01 08:00:00,3257,3257.0,2024-05-01
环西路-纬中路,2024-05-01 09:00:00,3856,3856.0,2024-05-01
环西路-纬中路,2024-05-01 10:00:00,4676,4676.0,2024-05-01
环西路-纬中路,2024-05-01 11:00:00,4141,4141.0,2024-05-01
环西路-纬中路,2024-05-01 12:00:00,3289,3289.0,2024-05-01
环西路-纬中路,2024-05-01 13:00:00,3498,3498.0,2024-05-01
环西路-纬中路,2024-05-01 14:00:00,2523,2523.0,2024-05-01
环西路-纬中路,2024-05-01 15:00:00,3769,3769.0,2024-05-01
环西路-纬中路,2024-05-01 16:00:00,5631,5631.0,2024-05-01
环西路-纬中路,2024-05-01 17:00:00,5523,5523.0,2024-05-01
环西路-纬中路,2024-05-01 18:00:00,4956,4956.0,2024-05-01
环西路-纬中路,2024-05-01 19:00:00,5129,5129.0,2024-05-01
环西路-纬中路,2024-05-01 20:00:00,4549,4549.0,2024-05-01
环西路-纬中路,2024-05-01 21:00:00,4178,4178.0,2024-05-01
环西路-纬中路,2024-05-01 22:00:00,3070,3070.0,2024-05-01
环西路-纬中路,2024-05-01 23:00:00,1915,1915.0,2024-05-01
纬中路-景区出入口,2024-05-01 00:00:00,297,297.0,2024-05-01
纬中路-景区出入口,2024-05-01 01:00:00,169,169.0,2024-05-01
纬中路-景区出入口,2024-05-01 02:00:00,117,117.0,2024-05-01
纬中路-景区出入口,2024-05-01 03:00:00,70,70.0,2024-05-01
纬中路-景区出入口,2024-05-01 04:00:00,75,75.0,2024-05-01
纬中路-景区出入口,2024-05-01 05:00:00,154,154.0,2024-05-01
纬中路-景区出入口,2024-05-01 06:00:00,294,294.0,2024-05-01
纬中路-景区出入口,2024-05-01 07:00:00,668,668.0,2024-05-01
纬中路-景区出入口,2024-05-01 08:00:00,1235,1235.0,2024-05-01
纬中路-景区出入口,2024-05-01 09:00:00,1431,1431.0,2024-05-01
纬中路-景区出入口,2024-05-01 10:00:00,1729,1729.0,2024-05-01
纬中路-景区出入口,2024-05-01 11:00:00,1446,1446.0,2024-05-01
纬中路-景区出入口,2024-05-01 15:00:00,1379,1379.0,2024-05-01
纬中路-景区出入口,2024-05-01 16:00:00,1841,1841.0,2024-05-01
纬中路-景区出入口,2024-05-01 17:00:00,1701,1701.0,2024-05-01
纬中路-景区出入口,2024-05-01 18:00:00,1686,1686.0,2024-05-01
纬中路-景区出入口,2024-05-01 19:00:00,1810,1810.0,2024-05-01
纬中路-景区出入口,2024-05-01 20:00:00,1599,1599.0,2024-05-01
纬中路-景区出入口,2024-05-01 21:00:00,1366,1366.0,2024-05-01
纬中路-景区出入口,2024-05-01 22:00:00,1047,1047.0,2024-05-01
纬中路-景区出入口,2024-05-01 23:00:00,554,554.0,2024-05-01
经一路-纬中路,2024-05-01 00:00:00,500,500.0,2024-05-01
经一路-纬中路,2024-05-01 01:00:00,290,290.0,2024-05-01
经一路-纬中路,2024-05-01 02:00:00,215,215.0,2024-05-01
经一路-纬中路,2024-05-01 03:00:00,127,127.0,2024-05-01
经一路-纬中路,2024-05-01 04:00:00,97,97.0,2024-05-01
经一路-纬中路,2024-05-01 05:00:00,167,167.0,2024-05-01
经一路-纬中路,2024-05-01 06:00:00,337,337.0,2024-05-01
经一路-纬中路,2024-05-01 07:00:00,810,810.0,2024-05-01
经一路-纬中路,2024-05-01 08:00:00,1272,1272.0,2024-05-01
经一路-纬中路,2024-05-01 09:00:00,1357,1357.0,2024-05-01
经一路-纬中路,2024-05-01 10:00:00,1800,1800.0,2024-05-01
经一路-纬中路,2024-05-01 11:00:00,1602,1602.0,2024-05-01
经一路-纬中路,2024-05-01 15:00:00,1232,1232.0,2024-05-01
经一路-纬中路,2024-05-01 16:00:00,2204,2204.0,2024-05-01
经一路-纬中路,2024-05-01 17:00:00,2283,2283.0,2024-05-01
经一路-纬中路,2024-05-01 18:00:00,2033,2033.0,2024-05-01
经一路-纬中路,2024-05-01 19:00:00,2268,2268.0,2024-05-01
经一路-纬中路,2024-05-01 20:00:00,1905,1905.0,2024-05-01
经一路-纬中路,2024-05-01 21:00:00,1637,1637.0,2024-05-01
经一路-纬中路,2024-05-01 22:00:00,1159,1159.0,2024-05-01
经一路-纬中路,2024-05-01 23:00:00,849,849.0,2024-05-01
经三路-纬中路,2024-05-01 01:00:00,123,123.0,2024-05-01
经三路-纬中路,2024-05-01 02:00:00,124,124.0,2024-05-01
经三路-纬中路,2024-05-01 03:00:00,89,89.0,2024-05-01
经三路-纬中路,2024-05-01 04:00:00,79,79.0,2024-05-01
经三路-纬中路,2024-05-01 05:00:00,128,128.0,2024-05-01
经三路-纬中路,2024-05-01 06:00:00,401,401.0,2024-05-01
经三路-纬中路,2024-05-01 07:00:00,751,751.0,2024-05-01
经三路-纬中路,2024-05-01 08:00:00,1349,1349.0,2024-05-01
经三路-纬中路,2024-05-01 09:00:00,1595,1595.0,2024-05-01
经三路-纬中路,2024-05-01 10:00:00,1726,1726.0,2024-05-01
经三路-纬中路,2024-05-01 11:00:00,1599,1599.0,2024-05-01
经三路-纬中路,2024-05-01 12:00:00,1762,1762.0,2024-05-01
经三路-纬中路,2024-05-01 13:00:00,1755,1755.0,2024-05-01
